timestamp;session;current;volt;soc;wh;mode;charge phase;charge time;temperature;fault flags;flags;charge limit
50923.715;883;1.618;4.80;-1;1725085;0;1;0;32.3;0;0;-1
51224.713;883;1.631;4.82;-1;1725734;0;1;302;36.3;0;0;-1
51525.713;883;1.622;4.81;-1;1726382;0;1;602;36.3;0;0;-1
51826.713;883;1.627;4.81;-1;1727033;0;1;904;37.3;0;0;-1
52127.715;883;1.619;4.80;-1;1727677;0;1;1204;37.3;0;0;-1
52428.715;883;1.614;4.80;-1;1728323;0;1;1506;37.3;0;0;-1
52729.717;883;1.625;4.81;-1;1728966;0;1;1806;38.3;0;0;-1
53030.715;883;1.620;4.80;-1;1729612;0;1;2108;38.3;0;0;-1
53331.713;883;1.619;4.79;-1;1730258;0;1;2408;38.3;0;0;-1
53632.715;883;1.620;4.80;-1;1730903;0;1;2710;38.3;0;0;-1
53933.713;883;1.620;4.80;-1;1731549;0;1;3010;38.3;0;0;-1
54234.717;883;1.622;4.80;-1;1732193;0;1;3312;39.3;0;0;-1
54535.715;883;1.623;4.80;-1;1732840;0;1;3612;39.3;0;0;-1
54836.713;883;1.627;4.81;-1;1733484;0;1;3914;39.3;0;0;-1
