timestamp;session;current;volt;soc;mwh;mode;charge phase;charge time;temperature;fault flags;flags;charge limit
5415.571;24;-.809;4.72;-1;72678;0;1;0;38.0;0;2;-1
5470.571;24;-0.812;4.71;-1;72734;0;1;56;40.0;0;2;-1
5559.570;24;-0.551;4.84;-1;72829;0;1;144;41.0;0;2;-1
5620.569;24;-0.811;4.72;-1;72893;0;1;206;41.0;0;2;-1
5921.569;24;-0.812;4.72;-1;73211;0;1;506;41.0;0;2;-1
62240.0;0;2;-1
6870.571;24;-0.812;4.72;-1;74215;0;1;1456;39.0;0;2;-1
7171.567;24;-0.811;4.72;-1;74533;0;1;1756;40.0;0;2;-1
7472.40.0;0;2;-1
6870.571;24;-0.812;4.72;-1;74215;0;1;1456;39.0;0;2;-1
7171.567;24;-0.811;4.72;-1;74533;0;1;1756;40.0;0;2;-1
7472.40.0;0;2;-1
6870.571;24;-0.812;4.72;-1;74215;0;1;1456;39.0;0;2;-1
7171.567;24;-0.811;4.72;-1;74533;0;1;1756;40.0;0;2;-1
7472.571;24;-0.812;4.73;-1;74851;0;1;2058;39.0;0;2;-1
7773.573;24;-0.813;4.73;-1;75170;0;1;2358;40.0;0;2;-1
8074.569;24;-0.812;4.73;-1;75488;0;1;2660;39.0;0;2;-1
8375.569;24;-0.812;4.73;-1;75806;0;1;2960;40.0;0;2;-1
8555.569;24;0.010;5.07;-1;75996;0;1;3140;39.0;0;2;-1
