"id","sessionId","deviceKey","timestamp","level","message"
1029468,202,"iOS-iPhone-16.7.11-E1026314","2025-12-17 17:54:29.598","COMMAND_SENT","app_msg limit 25 26 0 30"
1029467,202,"iOS-iPhone-16.7.11-E1026314","2025-12-17 17:54:29.668","COMMAND_RESPONSE","OK app_msg limit"
1029451,202,"iOS-iPhone-16.7.11-E1026314","2025-12-17 17:53:59.638","COMMAND_RESPONSE","OK app_msg limit"
1029450,202,"iOS-iPhone-16.7.11-E1026314","2025-12-17 17:53:59.6","COMMAND_SENT","app_msg limit 25 26 0 0"
1029431,202,"iOS-iPhone-16.7.11-E1026314","2025-12-17 17:53:29.638","COMMAND_RESPONSE","OK app_msg limit"
1029430,202,"iOS-iPhone-16.7.11-E1026314","2025-12-17 17:53:29.601","COMMAND_SENT","app_msg limit 25 25 1 27"
1029420,202,"iOS-iPhone-16.7.11-E1026314","2025-12-17 17:53:17.278","COMMAND_RESPONSE","OK app_msg limit"
1029419,202,"iOS-iPhone-16.7.11-E1026314","2025-12-17 17:53:17.216","COMMAND_SENT","app_msg limit 25 23 1 15"
1029344,202,"iOS-iPhone-16.7.11-E1026314","2025-12-17 17:50:59.636","COMMAND_RESPONSE","OK app_msg limit"
1029343,202,"iOS-iPhone-16.7.11-E1026314","2025-12-17 17:50:59.6","COMMAND_SENT","app_msg limit 25 23 1 0"
1029342,202,"iOS-iPhone-16.7.11-E1026314","2025-12-17 17:50:58.767","COMMAND_RESPONSE","OK app_msg limit"
1029341,202,"iOS-iPhone-16.7.11-E1026314","2025-12-17 17:50:58.723","COMMAND_SENT","app_msg limit 25 23 1 0"
1029336,202,"iOS-iPhone-16.7.11-E1026314","2025-12-17 17:50:55.017","COMMAND_RESPONSE","OK app_msg limit"
1029335,202,"iOS-iPhone-16.7.11-E1026314","2025-12-17 17:50:54.924","COMMAND_SENT","app_msg limit 90 23 0 5"
1029330,202,"iOS-iPhone-16.7.11-E1026314","2025-12-17 17:50:50.036","COMMAND_RESPONSE","OK app_msg limit"
1029329,202,"iOS-iPhone-16.7.11-E1026314","2025-12-17 17:50:49.99","COMMAND_SENT","app_msg limit 25 23 0 0"
1029322,202,"iOS-iPhone-16.7.11-E1026314","2025-12-17 17:50:37.439","COMMAND_SENT","app_msg limit 10 23 1 11"
1029321,202,"iOS-iPhone-16.7.11-E1026314","2025-12-17 17:50:37.526","COMMAND_RESPONSE","OK app_msg limit"
1029316,202,"iOS-iPhone-16.7.11-E1026314","2025-12-17 17:50:29.696","COMMAND_RESPONSE","OK app_msg limit"
1029315,202,"iOS-iPhone-16.7.11-E1026314","2025-12-17 17:50:29.6","COMMAND_SENT","app_msg limit 8 23 1 3"
1029310,202,"iOS-iPhone-16.7.11-E1026314","2025-12-17 17:50:25.976","COMMAND_RESPONSE","OK app_msg limit"
