timestamp;session;current;volt;soc;wh;mode;charge phase;charge time;temperature;fault flags;flags;charge limit
21.443;1017;-1.295;4.86;83;984019;0;1;6;27.7;0;3;-1
79.445;1017;-0.938;4.88;83;984098;0;1;64;30.7;0;3;84
241.445;1017;0.009;0.92;84;984301;0;1;226;33.7;0;3;84
302.441;1017;-1.305;4.79;84;984306;0;1;288;32.7;0;3;85
363.441;1017;-0.936;4.88;84;984386;0;1;348;33.7;0;3;85
487.445;1017;0.009;0.92;85;984541;0;1;472;33.7;0;3;85
1445.445;1017;-1.240;4.79;79;984541;0;1;1430;35.7;0;3;85
1511.445;1017;-1.115;4.85;79;984644;0;1;1496;36.7;0;3;85
1573.445;1017;-1.197;4.82;79;984739;0;1;1558;37.7;0;3;85
1634.441;1017;-1.114;4.85;80;984833;0;1;1620;37.7;0;3;85
1701.445;1017;-1.209;4.82;80;984936;0;1;1686;37.7;0;3;85
1764.441;1017;-1.114;4.85;80;985032;0;1;1750;37.7;0;3;85
1849.441;1017;-1.217;4.81;80;985162;0;1;1834;38.7;0;3;85
1913.445;1017;-1.139;4.85;80;985259;0;1;1898;38.7;0;3;85
2027.445;1017;-1.221;4.81;80;985437;0;1;2012;39.7;0;3;85
2092.441;1017;-1.131;4.85;80;985536;0;1;2078;39.7;0;3;85
2168.441;1017;-1.214;4.82;80;985652;0;1;2154;39.7;0;3;85
2229.445;1017;-0.458;5.00;81;985713;0;1;2214;39.7;0;3;85
2296.441;1017;-1.026;4.85;81;985757;0;1;2282;39.7;0;3;85
2357.445;1017;-0.907;4.87;81;985834;0;1;2342;39.7;0;3;85
2658.441;1017;-0.914;4.87;83;986205;0;1;2644;40.7;0;3;85
2954.445;1017;-0.003;1.09;85;986570;0;1;2940;39.7;0;3;85
3015.441;1017;-0.013;0.92;85;986570;0;1;3000;38.7;0;3;85
6534.443;1017;0.011;1.00;83;986570;0;1;6520;33.7;0;3;85

